<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
11.10.2018;111570;111570;111440;111450
11.10.2018;111460;111500;111440;111470
11.10.2018;111480;111500;111390;111400
11.10.2018;111400;111490;111380;111480
11.10.2018;111460;111540;111420;111520
11.10.2018;111510;111650;111500;111600
11.10.2018;111600;111620;111450;111450
11.10.2018;111470;111530;111410;111530
11.10.2018;111530;111660;111510;111650
11.10.2018;111640;111670;111590;111650
11.10.2018;111650;111670;111530;111570
11.10.2018;111550;111580;111500;111530
11.10.2018;111550;111570;111470;111490
11.10.2018;111490;111540;111470;111510
11.10.2018;111500;111520;111490;111500
11.10.2018;111510;111530;111440;111480
11.10.2018;111480;111500;111470;111490
11.10.2018;111470;111480;111420;111460
11.10.2018;111460;111500;111460;111460
11.10.2018;111460;111560;111460;111520
11.10.2018;111520;111530;111430;111450
11.10.2018;111470;111500;111440;111470
11.10.2018;111470;111480;111400;111450
11.10.2018;111440;111460;111380;111400
11.10.2018;111400;111450;111400;111420
11.10.2018;111420;111440;111380;111400
11.10.2018;111410;111410;111310;111370
11.10.2018;111370;111440;111330;111430
11.10.2018;111420;111430;111350;111370
11.10.2018;111380;111390;111320;111320
11.10.2018;111330;111380;111290;111350
11.10.2018;111370;111400;111330;111390
11.10.2018;111400;111420;111360;111420
11.10.2018;111420;111480;111400;111480
11.10.2018;111460;111490;111380;111410
11.10.2018;111410;111430;111360;111370
11.10.2018;111360;111390;111320;111340
11.10.2018;111350;111390;111320;111370
11.10.2018;111370;111400;111340;111370
11.10.2018;111370;111380;111330;111360
11.10.2018;111350;111380;111290;111310
11.10.2018;111310;111390;111300;111380
11.10.2018;111370;111370;111320;111350
11.10.2018;111330;111370;111320;111320
11.10.2018;111320;111350;111300;111340
11.10.2018;111330;111350;111290;111310
11.10.2018;111320;111340;111290;111330
11.10.2018;111330;111330;111260;111270
11.10.2018;111280;111280;111190;111210
11.10.2018;111200;111220;111170;111200
11.10.2018;111200;111240;111160;111170
11.10.2018;111180;111210;111140;111200
11.10.2018;111210;111230;111190;111210
11.10.2018;111210;111340;111210;111320
11.10.2018;111330;111440;111320;111380
11.10.2018;111380;111420;111370;111410
11.10.2018;111410;111500;111410;111490
11.10.2018;111490;111500;111410;111420
11.10.2018;111420;111490;111420;111440
11.10.2018;111450;111500;111420;111490
11.10.2018;111490;111510;111450;111460
11.10.2018;111480;111520;111480;111510
11.10.2018;111510;111510;111470;111470
11.10.2018;111480;111480;111400;111400
11.10.2018;111420;111450;111380;111400
11.10.2018;111410;111610;111400;111570
11.10.2018;111580;111600;111530;111570
11.10.2018;111590;111700;111570;111690
11.10.2018;111700;111730;111640;111650
11.10.2018;111650;111760;111650;111730
11.10.2018;111720;111760;111600;111630
11.10.2018;111620;111680;111620;111680
11.10.2018;111680;111710;111630;111710
11.10.2018;111690;111710;111640;111680
11.10.2018;111670;111720;111590;111590
11.10.2018;111590;111630;111530;111560
11.10.2018;111550;111580;111490;111570
11.10.2018;111580;111640;111560;111600
11.10.2018;111590;111590;111420;111460
11.10.2018;111460;111550;111450;111520
11.10.2018;111510;111620;111500;111600
11.10.2018;111590;111640;111530;111560
11.10.2018;111570;111580;111550;111560
11.10.2018;111560;111630;111510;111610
11.10.2018;111600;111630;111520;111610
11.10.2018;111610;111620;111560;111610
11.10.2018;111600;111610;111530;111530
11.10.2018;111520;111570;111490;111570
11.10.2018;111560;111620;111560;111600
11.10.2018;111610;111610;111470;111470
11.10.2018;111480;111550;111470;111490
11.10.2018;111510;111530;111460;111460
11.10.2018;111460;111500;111360;111420
11.10.2018;111440;111480;111380;111460
11.10.2018;111450;111460;111380;111440
11.10.2018;111440;111440;111340;111350
11.10.2018;111360;111390;111330;111380
11.10.2018;111380;111390;111320;111350
11.10.2018;111340;111340;111290;111320
11.10.2018;111320;111420;111300;111410
11.10.2018;111400;111420;111350;111410
11.10.2018;111400;111430;111400;111430
11.10.2018;111430;111500;111420;111480
11.10.2018;111480;111520;111470;111520
11.10.2018;111520;111550;111460;111490
11.10.2018;111480;111530;111480;111510
11.10.2018;111510;111540;111490;111540
11.10.2018;111540;111600;111530;111580
11.10.2018;111570;111600;111560;111580
11.10.2018;111570;111610;111560;111600
11.10.2018;111610;111610;111570;111590
11.10.2018;111580;111640;111570;111640
11.10.2018;111640;111660;111590;111640
11.10.2018;111640;111710;111630;111670
11.10.2018;111670;111710;111530;111550
11.10.2018;111550;111600;111530;111540
11.10.2018;111550;111570;111430;111450
11.10.2018;111440;111490;111410;111490
11.10.2018;111470;111530;111470;111510
11.10.2018;111520;111530;111470;111480
11.10.2018;111480;111540;111450;111490
11.10.2018;111500;111520;111480;111510
11.10.2018;111500;111540;111460;111520
11.10.2018;111510;111550;111510;111540
11.10.2018;111530;111550;111380;111480
11.10.2018;111470;111550;111450;111520
11.10.2018;111520;111530;111480;111520
11.10.2018;111530;111530;111480;111480
11.10.2018;111490;111510;111420;111510
11.10.2018;111500;111530;111470;111490
11.10.2018;111490;111550;111490;111540
11.10.2018;111550;111600;111540;111560
11.10.2018;111560;111600;111540;111550
11.10.2018;111550;111550;111400;111420
11.10.2018;111420;111450;111400;111400
11.10.2018;111400;111410;111360;111360
11.10.2018;111370;111430;111370;111420
11.10.2018;111420;111480;111410;111470
11.10.2018;111470;111490;111440;111460
11.10.2018;111460;111510;111450;111510
11.10.2018;111510;111530;111480;111490
11.10.2018;111490;111560;111490;111540
11.10.2018;111550;111570;111530;111540
11.10.2018;111550;111560;111510;111520
11.10.2018;111520;111530;111470;111480
11.10.2018;111480;111520;111470;111500
11.10.2018;111490;111500;111450;111470
11.10.2018;111480;111510;111460;111500
11.10.2018;111510;111630;111510;111630
11.10.2018;111610;111630;111570;111570
11.10.2018;111590;112200;111580;112190
11.10.2018;112200;112520;112190;112380
11.10.2018;112400;112410;112140;112180
11.10.2018;112180;112350;112150;112240
11.10.2018;112230;112370;112210;112360
11.10.2018;112360;112460;112280;112370
11.10.2018;112360;112440;112320;112360
11.10.2018;112350;112390;112180;112220
11.10.2018;112230;112370;112230;112330
11.10.2018;112330;112570;112330;112470
11.10.2018;112480;112490;112390;112410
11.10.2018;112420;112550;112380;112430
11.10.2018;112440;112450;112300;112350
11.10.2018;112340;112380;112310;112340
11.10.2018;112350;112460;112320;112430
11.10.2018;112450;112460;112280;112350
11.10.2018;112350;112350;112270;112350
11.10.2018;112340;112370;112310;112360
11.10.2018;112370;112450;112350;112410
11.10.2018;112420;112480;112370;112370
11.10.2018;112370;112450;112340;112450
11.10.2018;112450;112640;112440;112510
11.10.2018;112520;112580;112470;112530
11.10.2018;112530;112640;112530;112590
11.10.2018;112600;112700;112570;112670
11.10.2018;112670;112770;112650;112760
11.10.2018;112760;112800;112650;112680
11.10.2018;112690;112720;112640;112680
11.10.2018;112670;112690;112620;112640
11.10.2018;112630;112640;112480;112510
11.10.2018;112510;112710;112480;112630
11.10.2018;112660;112660;112560;112570
11.10.2018;112570;112630;112520;112530
11.10.2018;112520;112590;112310;112370
11.10.2018;112360;112390;112270;112270
11.10.2018;112270;112390;112260;112340
11.10.2018;112350;112480;112340;112410
11.10.2018;112400;112600;112390;112590
11.10.2018;112590;112640;112490;112510
11.10.2018;112510;112530;112380;112500
11.10.2018;112510;112630;112500;112620
11.10.2018;112630;112660;112560;112640
11.10.2018;112650;112660;112570;112660
11.10.2018;112660;112750;112650;112690
11.10.2018;112690;112780;112690;112720
11.10.2018;112730;112740;112470;112500
11.10.2018;112510;112740;112500;112680
11.10.2018;112680;112680;112590;112630
11.10.2018;112620;112620;112500;112530
11.10.2018;112520;112540;112480;112510
11.10.2018;112490;112520;112440;112490
11.10.2018;112490;112530;112470;112510
11.10.2018;112520;112630;112510;112610
11.10.2018;112600;112640;112540;112590
11.10.2018;112600;112710;112600;112660
11.10.2018;112650;112690;112640;112670
11.10.2018;112690;112690;112500;112500
11.10.2018;112500;112560;112460;112490
11.10.2018;112500;112520;112410;112420
11.10.2018;112420;112530;112370;112480
11.10.2018;112470;112470;112340;112420
11.10.2018;112420;112800;112410;112660
11.10.2018;112660;112800;112590;112680
11.10.2018;112680;112840;112460;112490
11.10.2018;112500;112670;112450;112540
11.10.2018;112560;112610;112470;112500
11.10.2018;112500;112500;112380;112450
11.10.2018;112440;112520;112410;112460
11.10.2018;112460;112480;112310;112320
11.10.2018;112310;112310;112010;112040
11.10.2018;112030;112100;111930;111970
11.10.2018;111960;111990;111910;111910
11.10.2018;111920;111970;111760;111920
11.10.2018;111910;112130;111860;112090
11.10.2018;112080;112110;111970;112000
11.10.2018;112000;112350;111940;112310
11.10.2018;112310;112460;112270;112430
11.10.2018;112440;112490;112340;112470
11.10.2018;112470;112570;112420;112500
11.10.2018;112500;112710;112490;112670
11.10.2018;112670;112820;112670;112810
11.10.2018;112810;112900;112760;112870
11.10.2018;112870;112930;112790;112810
11.10.2018;112810;112820;112710;112730
11.10.2018;112720;112790;112680;112710
11.10.2018;112710;112790;112630;112760
11.10.2018;112750;112760;112680;112730
11.10.2018;112740;112910;112700;112910
11.10.2018;112920;112950;112850;112920
11.10.2018;112920;112960;112870;112880
11.10.2018;112870;112970;112790;112790
11.10.2018;112800;112890;112770;112790
11.10.2018;112790;112820;112700;112740
11.10.2018;112730;112760;112670;112740
11.10.2018;112760;112780;112560;112570
11.10.2018;112560;112650;112500;112510
11.10.2018;112520;112650;112500;112620
11.10.2018;112610;112670;112570;112600
11.10.2018;112590;112850;112590;112770
11.10.2018;112780;112870;112770;112810
11.10.2018;112810;112890;112690;112740
11.10.2018;112750;112820;112730;112760
11.10.2018;112780;112780;112600;112610
11.10.2018;112610;112690;112580;112660
11.10.2018;112670;112770;112660;112670
11.10.2018;112670;112670;112540;112640
11.10.2018;112630;112630;112470;112480
11.10.2018;112470;112540;112420;112520
11.10.2018;112540;112580;112450;112450
11.10.2018;112450;112600;112450;112580
11.10.2018;112580;112590;112510;112570
11.10.2018;112570;112620;112540;112550
11.10.2018;112570;112590;112460;112480
11.10.2018;112500;112560;112480;112540
11.10.2018;112520;112530;112360;112360
11.10.2018;112360;112410;112310;112410
11.10.2018;112400;112520;112380;112510
11.10.2018;112510;112580;112470;112550
11.10.2018;112560;112590;112470;112480
11.10.2018;112500;112530;112450;112530
11.10.2018;112520;112630;112500;112630
11.10.2018;112630;112740;112600;112610
11.10.2018;112600;112690;112580;112620
11.10.2018;112620;112640;112500;112520
11.10.2018;112520;112560;112470;112540
11.10.2018;112540;112570;112510;112530
11.10.2018;112510;112650;112470;112610
11.10.2018;112600;112700;112590;112620
11.10.2018;112610;112630;112390;112410
11.10.2018;112400;112500;112400;112450
11.10.2018;112450;112510;112420;112460
11.10.2018;112460;112600;112420;112580
11.10.2018;112580;112580;112520;112540
11.10.2018;112550;112640;112490;112500
11.10.2018;112490;112660;112490;112620
11.10.2018;112630;112740;112510;112550
11.10.2018;112560;112570;112470;112490
11.10.2018;112490;112530;112430;112520
11.10.2018;112510;112610;112500;112580
11.10.2018;112580;112610;112430;112440
11.10.2018;112430;112580;112430;112570
11.10.2018;112560;112590;112520;112540
11.10.2018;112530;112540;112440;112480
11.10.2018;112490;112540;112350;112380
11.10.2018;112390;112470;112350;112470
11.10.2018;112460;112530;112390;112430
11.10.2018;112420;112500;112410;112410
11.10.2018;112410;112430;112300;112380
11.10.2018;112370;112520;112360;112450
11.10.2018;112450;112450;112340;112440
11.10.2018;112420;112490;112210;112290
11.10.2018;112280;112320;112250;112310
11.10.2018;112310;112430;112310;112400
11.10.2018;112400;112440;112370;112400
11.10.2018;112390;112400;112210;112240
11.10.2018;112260;112270;112150;112200
11.10.2018;112200;112270;112130;112230
11.10.2018;112240;112300;112230;112280
11.10.2018;112280;112300;112120;112120
11.10.2018;112120;112150;112070;112080
11.10.2018;112070;112130;111900;111910
11.10.2018;111910;112000;111810;111810
11.10.2018;111830;111870;111650;111680
11.10.2018;111670;111740;111600;111700
11.10.2018;111700;111740;111620;111640
11.10.2018;111640;111880;111570;111830
11.10.2018;111820;111840;111730;111810
11.10.2018;111830;111990;111740;111980
11.10.2018;111970;112040;111940;111970
11.10.2018;111970;111980;111910;111970
11.10.2018;111960;112100;111940;112070
11.10.2018;112080;112090;111950;112040
11.10.2018;112040;112120;111970;112100
11.10.2018;112110;112210;112040;112200
11.10.2018;112200;112250;112160;112240
11.10.2018;112230;112300;112180;112180
11.10.2018;112180;112250;112160;112240
11.10.2018;112250;112290;112200;112270
11.10.2018;112290;112330;112240;112250
11.10.2018;112260;112270;112180;112250
11.10.2018;112270;112280;112140;112150
11.10.2018;112160;112180;112070;112140
11.10.2018;112140;112250;112120;112240
11.10.2018;112240;112410;112220;112350
11.10.2018;112370;112440;112320;112440
11.10.2018;112430;112430;112280;112300
11.10.2018;112300;112330;112230;112320
11.10.2018;112310;112380;112260;112310
11.10.2018;112310;112340;112280;112330
11.10.2018;112330;112360;112250;112340
11.10.2018;112330;112510;112330;112490
11.10.2018;112500;112540;112470;112500
11.10.2018;112520;112550;112470;112540
11.10.2018;112540;112550;112480;112540
11.10.2018;112530;112550;112480;112530
11.10.2018;112560;113290;112560;113180
11.10.2018;113160;113300;113030;113050
11.10.2018;113040;113080;112940;112940
11.10.2018;112940;113000;112920;112970
11.10.2018;112970;113040;112930;112940
11.10.2018;112950;113060;112930;112990
11.10.2018;113000;113010;112930;112960
11.10.2018;112960;112980;112880;112890
11.10.2018;112910;112970;112890;112910
11.10.2018;112920;113000;112890;112910
11.10.2018;112910;112970;112890;112920
11.10.2018;112910;112920;112880;112910
11.10.2018;112920;112940;112890;112910
11.10.2018;112900;112940;112890;112920
11.10.2018;112930;113000;112910;112980
11.10.2018;112970;113160;112970;113140
11.10.2018;113150;113200;113150;113180
11.10.2018;113180;113270;113160;113250
11.10.2018;113250;113350;113230;113340
11.10.2018;113340;113480;113330;113350
11.10.2018;113360;113390;113300;113330
11.10.2018;113320;113360;113300;113330
11.10.2018;113320;113420;113320;113360
11.10.2018;113350;113380;113330;113370
11.10.2018;113360;113430;113350;113400
11.10.2018;113400;113410;113340;113340
11.10.2018;113340;113390;113320;113380
11.10.2018;113370;113450;113370;113430
11.10.2018;113440;113440;113320;113330
11.10.2018;113320;113330;113260;113290
11.10.2018;113290;113420;113290;113340
11.10.2018;113340;113360;113300;113350
11.10.2018;113350;113350;113250;113250
11.10.2018;113240;113300;113230;113240
11.10.2018;113240;113300;113210;113240
11.10.2018;113240;113260;113210;113250
11.10.2018;113250;113260;113210;113240
11.10.2018;113240;113270;113220;113260
11.10.2018;113270;113300;113250;113300
11.10.2018;113290;113330;113290;113320
11.10.2018;113320;113330;113270;113320
11.10.2018;113340;113350;113250;113270
11.10.2018;113270;113310;113240;113270
11.10.2018;113260;113270;113150;113160
11.10.2018;113160;113210;113160;113200
11.10.2018;113200;113260;113120;113120
11.10.2018;113120;113190;113120;113180
11.10.2018;113180;113180;113130;113130
11.10.2018;113140;113170;113100;113150
11.10.2018;113150;113170;113120;113130
11.10.2018;113150;113150;113060;113090
11.10.2018;113110;113170;113110;113170
11.10.2018;113170;113270;113160;113240
11.10.2018;113230;113230;113160;113170
11.10.2018;113180;113200;113150;113200
11.10.2018;113190;113210;113070;113130
11.10.2018;113110;113120;113070;113080
11.10.2018;113080;113100;113040;113070
11.10.2018;113060;113060;113020;113030
11.10.2018;113030;113040;112920;112950
11.10.2018;112940;113020;112940;112990
11.10.2018;112980;113020;112960;113000
11.10.2018;112990;113120;112990;113100
11.10.2018;113110;113110;113040;113060
11.10.2018;113090;113120;113030;113070
11.10.2018;113070;113080;113000;113050
11.10.2018;113040;113120;113040;113090
11.10.2018;113070;113190;113070;113180
11.10.2018;113190;113270;113160;113240
11.10.2018;113240;113320;113230;113310
11.10.2018;113310;113370;113270;113290
11.10.2018;113300;113370;113290;113370
11.10.2018;113370;113410;113330;113370
11.10.2018;113380;113400;113320;113320
11.10.2018;113330;113340;113290;113310
11.10.2018;113330;113340;113290;113320
11.10.2018;113320;113400;113320;113340
11.10.2018;113340;113390;113320;113380
11.10.2018;113380;113410;113340;113350
11.10.2018;113360;113360;113290;113310
11.10.2018;113320;113340;113290;113330
11.10.2018;113310;113310;113230;113240
11.10.2018;113240;113270;113220;113250
11.10.2018;113250;113290;113250;113290
11.10.2018;113280;113300;113220;113280
11.10.2018;113290;113400;113290;113380
11.10.2018;113380;113390;113300;113310
11.10.2018;113310;113310;113260;113270
11.10.2018;113280;113300;113230;113250
11.10.2018;113250;113280;113230;113260
11.10.2018;113250;113270;113190;113220
11.10.2018;113220;113290;113210;113260
11.10.2018;113250;113280;113220;113250
11.10.2018;113250;113300;113250;113280
11.10.2018;113270;113340;113250;113320
11.10.2018;113330;113370;113310;113370
11.10.2018;113360;113370;113300;113310
11.10.2018;113300;113330;113230;113230
11.10.2018;113230;113260;113110;113110
11.10.2018;113110;113190;113110;113190
11.10.2018;113200;113220;113130;113210
11.10.2018;113220;113270;113210;113220
11.10.2018;113210;113300;113210;113300
11.10.2018;113300;113330;113220;113320
11.10.2018;113300;113300;113210;113230
11.10.2018;113210;113210;113140;113170
11.10.2018;113150;113160;113030;113090
11.10.2018;113080;113090;113040;113070
11.10.2018;113080;113150;113080;113110
11.10.2018;113130;113200;113120;113190
11.10.2018;113190;113230;113180;113190
11.10.2018;113200;113220;113150;113210
11.10.2018;113210;113240;113200;113240
11.10.2018;113240;113370;113240;113330
11.10.2018;113340;113380;113330;113380
11.10.2018;113380;113400;113310;113350
11.10.2018;113360;113390;113320;113340
11.10.2018;113330;113340;113270;113330
11.10.2018;113330;113330;113250;113280
11.10.2018;113290;113320;113280;113300
11.10.2018;113310;113360;113290;113330
11.10.2018;113330;113330;113230;113270
11.10.2018;113270;113270;113220;113220
11.10.2018;113220;113280;113190;113220
11.10.2018;113220;113240;113160;113200
11.10.2018;113200;113220;113170;113220
11.10.2018;113230;113240;113130;113130
11.10.2018;113140;113170;113070;113090
11.10.2018;113080;113170;113080;113150
11.10.2018;113150;113180;113120;113150
11.10.2018;113160;113170;113100;113130
11.10.2018;113120;113150;113090;113090
11.10.2018;113090;113140;113090;113140
11.10.2018;113130;113180;113090;113160
11.10.2018;113150;113180;113130;113150
11.10.2018;113170;113170;113140;113150
11.10.2018;113150;113240;113150;113220
11.10.2018;113210;113280;113200;113240
11.10.2018;113240;113260;113150;113170
11.10.2018;113180;113180;113050;113050
11.10.2018;113050;113100;113020;113080
11.10.2018;113090;113150;113030;113050
11.10.2018;113060;113100;113030;113070
11.10.2018;113060;113130;113030;113110
11.10.2018;113120;113130;113030;113030
11.10.2018;113030;113040;112940;112960
11.10.2018;112980;113000;112940;112960
11.10.2018;112960;112960;112830;112880
11.10.2018;112880;112930;112850;112900
11.10.2018;112890;112920;112860;112860
11.10.2018;112850;112850;112670;112770
11.10.2018;112770;112770;112640;112650
11.10.2018;112650;112700;112590;112610
11.10.2018;112610;112670;112580;112600
11.10.2018;112610;112630;112530;112590
11.10.2018;112590;112600;112510;112570
11.10.2018;112560;112580;112500;112510
11.10.2018;112500;112540;112270;112280
11.10.2018;112280;112380;112250;112290
11.10.2018;112290;112340;112240;112250
11.10.2018;112240;112250;112020;112030
11.10.2018;112030;112170;111940;112060
11.10.2018;112050;112330;112040;112320
11.10.2018;112330;112360;112100;112200
11.10.2018;112200;112210;112090;112120
11.10.2018;112120;112190;112080;112160
11.10.2018;112150;112240;112000;112240
11.10.2018;112240;112420;112230;112340
11.10.2018;112340;112370;112200;112280
11.10.2018;112300;112340;112250;112250
11.10.2018;112250;112270;112110;112140
11.10.2018;112140;112220;112060;112200
11.10.2018;112190;112200;112070;112110
11.10.2018;112110;112180;112090;112160
11.10.2018;112160;112290;112160;112220
11.10.2018;112210;112260;112110;112190
11.10.2018;112190;112280;112120;112270
11.10.2018;112260;112350;112250;112320
11.10.2018;112310;112370;112310;112360
11.10.2018;112350;112480;112350;112450
11.10.2018;112460;112480;112380;112400
11.10.2018;112380;112450;112330;112440
11.10.2018;112440;112510;112420;112470
11.10.2018;112460;112480;112420;112460
11.10.2018;112460;112480;112390;112450
11.10.2018;112460;112460;112330;112350
11.10.2018;112350;112360;112270;112340
11.10.2018;112340;112380;112340;112350
11.10.2018;112360;112710;112350;112690
11.10.2018;112700;112930;112700;112830
11.10.2018;112830;112890;112790;112850
11.10.2018;112840;113040;112830;112980
11.10.2018;112980;113130;112900;112980
11.10.2018;112970;113030;112920;112990
11.10.2018;113010;113200;112970;113130
11.10.2018;113140;113190;113010;113020
11.10.2018;113020;113150;112980;113100
11.10.2018;113100;113220;113100;113120
11.10.2018;113120;113170;112980;113000
11.10.2018;113010;113150;113010;113110
11.10.2018;113120;113230;113080;113180
11.10.2018;113160;113260;113130;113160
11.10.2018;113160;113190;113080;113090
11.10.2018;113100;113200;113080;113130
11.10.2018;113130;113140;113060;113100
11.10.2018;113100;113120;113030;113060
11.10.2018;113060;113180;113060;113170
11.10.2018;113170;113250;113140;113220
11.10.2018;113230;113340;113210;113250
11.10.2018;113240;113300;113190;113200
11.10.2018;113190;113220;113040;113040
11.10.2018;113040;113090;112940;112980
11.10.2018;112980;113030;112950;113030
11.10.2018;113040;113180;113000;113140
11.10.2018;113150;113190;113100;113150
11.10.2018;113150;113150;113000;113000
11.10.2018;113010;113080;112980;112990
11.10.2018;112990;113090;112980;113080
11.10.2018;113090;113140;113060;113060
11.10.2018;113050;113060;112950;113010
11.10.2018;112990;113000;112880;112990
11.10.2018;112990;113030;112940;112960
11.10.2018;112950;112960;112860;112860
11.10.2018;112850;112890;112820;112820
11.10.2018;112820;112880;112690;112720
11.10.2018;112720;112800;112690;112770
11.10.2018;112770;113000;112720;112970
11.10.2018;112950;112970;112800;112810
11.10.2018;112800;112940;112790;112900
11.10.2018;112910;112910;112800;112820
11.10.2018;112830;112860;112730;112830
11.10.2018;112820;112820;112740;112770
11.10.2018;112770;112830;112760;112790
11.10.2018;112780;112850;112770;112790
11.10.2018;112780;112790;112620;112660
11.10.2018;112650;112830;112650;112770
11.10.2018;112750;112770;112680;112700
11.10.2018;112700;112710;112580;112610
11.10.2018;112610;112750;112610;112730
11.10.2018;112740;112860;112740;112840
11.10.2018;112840;112990;112840;112970
11.10.2018;112960;112980;112860;112920
11.10.2018;112910;112950;112900;112950
11.10.2018;112960;112980;112950;112980
11.10.2018;112970;112970;112880;112900
11.10.2018;112930;112940;112880;112890
11.10.2018;112880;112910;112860;112890
11.10.2018;112900;112930;112890;112920
11.10.2018;112910;113110;112900;113100
11.10.2018;113100;113100;112800;112820
11.10.2018;112830;112970;112830;112870
11.10.2018;112870;112890;112860;112890
11.10.2018;112900;113030;112900;112940
11.10.2018;112950;112960;112930;112930
11.10.2018;112920;112920;112840;112870
11.10.2018;112860;112880;112840;112840
11.10.2018;112850;112880;112830;112830
11.10.2018;112830;112830;112730;112750
11.10.2018;112760;112810;112650;112690
11.10.2018;112700;112780;112700;112780
11.10.2018;112770;112780;112750;112780
11.10.2018;112770;112790;112700;112710
11.10.2018;112710;112720;112670;112680
11.10.2018;112660;112730;112650;112730
11.10.2018;112720;112790;112720;112790
11.10.2018;112780;112850;112700;112840
11.10.2018;112840;112860;112810;112850
11.10.2018;112850;112870;112810;112810
11.10.2018;112810;112820;112790;112810
11.10.2018;112810;112810;112760;112800
11.10.2018;112790;112800;112770;112780
11.10.2018;112780;112800;112770;112800
11.10.2018;112790;112840;112790;112800
11.10.2018;112810;112820;112750;112750
11.10.2018;112760;112810;112760;112810
11.10.2018;112800;112820;112780;112780
11.10.2018;112790;112810;112790;112790
11.10.2018;112800;112900;112800;112880
11.10.2018;112880;112980;112880;112970
11.10.2018;112980;113000;112960;112970
11.10.2018;112990;113020;112960;113000
11.10.2018;112980;113000;112960;112990
11.10.2018;112990;113000;112970;112980
11.10.2018;112980;113000;112930;112970
11.10.2018;112990;113030;112940;113020
13.11.2018;110480;110680;110480;110660
13.11.2018;110670;110870;110660;110810
13.11.2018;110830;111050;110790;110860
13.11.2018;110860;111000;110860;110980
13.11.2018;110990;111110;110970;111040
13.11.2018;111030;111040;110950;111020
13.11.2018;111020;111050;110990;111000
13.11.2018;111000;111150;110950;111050
13.11.2018;111040;111050;110940;110970
13.11.2018;110960;110990;110870;110880
13.11.2018;110880;110890;110670;110680
13.11.2018;110690;110700;110540;110640
13.11.2018;110620;110710;110590;110680
13.11.2018;110670;110710;110490;110510
13.11.2018;110510;110610;110370;110570
13.11.2018;110570;110630;110540;110620
13.11.2018;110610;110680;110590;110610
13.11.2018;110600;110650;110580;110600
13.11.2018;110600;110770;110600;110750
13.11.2018;110760;110870;110720;110800
13.11.2018;110790;110830;110720;110760
13.11.2018;110760;110770;110630;110650
13.11.2018;110650;110680;110610;110660
13.11.2018;110650;110690;110650;110650
13.11.2018;110660;110740;110630;110690
13.11.2018;110680;110790;110670;110780
13.11.2018;110780;110850;110770;110850
13.11.2018;110840;110940;110830;110940
13.11.2018;110930;110930;110820;110830
13.11.2018;110820;110830;110730;110770
13.11.2018;110750;110760;110600;110680
13.11.2018;110680;110740;110670;110720
13.11.2018;110720;110780;110700;110730
13.11.2018;110730;110750;110690;110710
13.11.2018;110710;110740;110680;110740
13.11.2018;110740;110850;110740;110840
13.11.2018;110830;110840;110750;110780
13.11.2018;110760;110870;110760;110830
13.11.2018;110830;110960;110830;110920
13.11.2018;110920;110940;110870;110890
13.11.2018;110890;110940;110880;110900
13.11.2018;110890;110900;110860;110880
13.11.2018;110880;110990;110880;110990
13.11.2018;110990;111030;110970;111010
13.11.2018;111010;111020;110960;110990
13.11.2018;111000;111090;110980;111060
13.11.2018;111080;111090;111050;111080
13.11.2018;111080;111090;111000;111080
13.11.2018;111090;111210;111090;111190
13.11.2018;111180;111260;111170;111250
13.11.2018;111250;111300;111210;111210
13.11.2018;111220;111260;111200;111250
13.11.2018;111250;111300;111210;111240
13.11.2018;111250;111260;111190;111200
13.11.2018;111210;111270;111210;111230
13.11.2018;111240;111290;111220;111230
13.11.2018;111240;111360;111240;111260
13.11.2018;111260;111310;111260;111300
13.11.2018;111290;111330;111260;111270
13.11.2018;111280;111340;111260;111300
13.11.2018;111320;111330;111240;111280
13.11.2018;111280;111300;111220;111230
13.11.2018;111230;111240;111170;111190
13.11.2018;111200;111260;111190;111250
13.11.2018;111250;111300;111140;111150
13.11.2018;111140;111190;111050;111050
13.11.2018;111050;111090;110950;111000
13.11.2018;110990;111000;110840;110930
13.11.2018;110920;111030;110910;110990
13.11.2018;110990;111080;110980;111060
13.11.2018;111070;111090;111020;111040
13.11.2018;111030;111070;110950;110960
13.11.2018;110960;111010;110950;110980
13.11.2018;110980;111000;110960;110960
13.11.2018;110960;111000;110880;110920
13.11.2018;110920;111010;110920;111000
13.11.2018;111000;111060;110980;110990
13.11.2018;111000;111050;111000;111020
13.11.2018;111020;111050;111000;111030
13.11.2018;111030;111060;110980;110980
13.11.2018;111000;111060;111000;111060
13.11.2018;111050;111060;110990;111010
13.11.2018;111020;111030;110930;110930
13.11.2018;110930;110930;110820;110850
13.11.2018;110850;110860;110750;110760
13.11.2018;110770;110840;110770;110810
13.11.2018;110820;110830;110760;110810
13.11.2018;110810;110900;110800;110870
13.11.2018;110890;110900;110850;110850
13.11.2018;110850;110930;110840;110850
13.11.2018;110850;110890;110810;110810
13.11.2018;110800;110820;110670;110700
13.11.2018;110720;110720;110620;110690
13.11.2018;110690;110700;110540;110600
13.11.2018;110600;110670;110590;110650
13.11.2018;110650;110710;110650;110660
13.11.2018;110660;110710;110610;110640
13.11.2018;110650;110670;110620;110630
13.11.2018;110640;110840;110640;110840
13.11.2018;110830;110860;110750;110750
13.11.2018;110740;110800;110740;110780
13.11.2018;110790;110830;110760;110780
13.11.2018;110780;110810;110730;110730
13.11.2018;110740;110830;110730;110800
13.11.2018;110790;110790;110750;110790
